MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
367702220,2022-03-31T00:00:01,29.78763,-95.08070,0.1,226.5,340.0,JOE B WARD,,WDI4808,31,12,21,8,,57,A
671226100,2022-03-31T00:00:01,25.77626,-80.20320,3.2,143.7,511.0,RELIANCE II,IMO9221322,5VHS7,79,0,52,12,2.5,70,A
367767250,2022-03-31T00:00:01,29.31623,-94.78829,4.5,228.1,511.0,GLEN K,,WDJ3358,52,0,0,0,0.0,52,A
338327436,2022-03-31T00:00:03,47.29634,-122.42233,0.0,360.0,511.0,COOL KAT,IMO0000000,,36,,15,3,,,B
367452810,2022-03-31T00:00:06,29.32824,-94.77391,2.6,319.2,511.0,JOHN W JOHNSON,IMO9602344,WDF4516,60,0,80,19,3.0,60,A
367616350,2022-03-31T00:00:06,31.15502,-81.49931,0.0,13.0,511.0,THE NORM,IMO0000000,WDH4306,36,,13,8,,,B
367402540,2022-03-31T00:00:03,38.39598,-85.62818,4.1,22.8,511.0,GINGER MOLLER,,WDE8186,31,15,34,10,,31,A
366919770,2022-03-31T00:00:09,48.74428,-122.49504,0.0,210.3,46.0,LYNN MARIE,IMO9253583,WDB6192,31,5,29,12,3.8,52,A
538006349,2022-03-31T00:00:09,48.48308,-125.05758,11.9,89.1,90.0,ALPHA ETHOS,IMO9723617,V7ME7,70,0,,,,70,A
